"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-13 11:49:00,0.600,0.600
2023-07-13 11:49:05,0.600,0.600
2023-07-13 11:49:10,0.500,0.600
2023-07-13 11:49:15,0.500,0.600
2023-07-13 11:49:20,0.300,0.700
2023-07-13 11:49:25,0.300,0.700
2023-07-13 11:49:30,0.300,0.400
2023-07-13 11:49:35,0.300,0.400
2023-07-13 11:49:40,0.500,0.500
2023-07-13 11:49:45,0.500,0.500
2023-07-13 11:49:50,0.400,0.400
2023-07-13 11:49:55,0.400,0.400
2023-07-13 11:50:00,0.300,0.300
2023-07-13 11:50:05,0.300,0.300
2023-07-13 11:50:10,0.200,0.200
2023-07-13 11:50:15,0.200,0.200
2023-07-13 11:50:20,0.300,0.300
2023-07-13 11:50:25,0.300,0.300
2023-07-13 11:50:30,0.400,0.400
2023-07-13 11:50:35,0.400,0.400
2023-07-13 11:50:40,0.500,0.500
2023-07-13 11:50:45,0.500,0.500
2023-07-13 11:50:50,0.800,1
2023-07-13 11:50:55,0.800,1
2023-07-13 11:51:00,0.500,0.500
2023-07-13 11:51:05,0.500,0.500
2023-07-13 11:51:10,0.800,0.800
2023-07-13 11:51:15,0.800,0.800
2023-07-13 11:51:20,0.700,0.700
2023-07-13 11:51:25,0.700,0.700

