"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 23:10:05,0.600,0.600
2023-07-12 23:10:10,0.600,0.600
2023-07-12 23:10:15,0.600,0.600
2023-07-12 23:10:20,0.300,0.300
2023-07-12 23:10:25,0.300,0.300
2023-07-12 23:10:40,0.200,0.200
2023-07-12 23:10:45,0.200,0.200
2023-07-12 23:10:50,0.700,0.700
2023-07-12 23:10:55,0.700,0.700
2023-07-12 23:11:00,0.500,0.500
2023-07-12 23:11:05,0.500,0.500
2023-07-12 23:11:10,0.100,0.100
2023-07-12 23:11:15,0.100,0.100
2023-07-12 23:11:20,0.300,0.300
2023-07-12 23:11:25,0.300,0.300
2023-07-12 23:11:30,0.700,0.800
2023-07-12 23:11:35,0.700,0.800
2023-07-12 23:11:40,0.300,0.300
2023-07-12 23:11:45,0.300,0.300
2023-07-12 23:11:50,0.500,0.500
2023-07-12 23:11:55,0.500,0.500
2023-07-12 23:12:00,0.200,0.200
2023-07-12 23:12:05,0.200,0.200
2023-07-12 23:12:10,0.500,0.500
2023-07-12 23:12:15,0.500,0.500
2023-07-12 23:12:20,0.400,0.400
2023-07-12 23:12:25,0.400,0.400

