"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-13 11:55:00,0.300,0.300
2023-07-13 11:55:05,0.300,0.300
2023-07-13 11:55:10,0.300,0.300
2023-07-13 11:55:15,0.300,0.300
2023-07-13 11:55:30,0.100,0.100
2023-07-13 11:55:35,0.100,0.100
2023-07-13 11:55:40,0.400,0.400
2023-07-13 11:55:45,0.400,0.400
2023-07-13 11:55:50,0.200,0.200
2023-07-13 11:55:55,0.200,0.200
2023-07-13 11:56:00,0.200,0.300
2023-07-13 11:56:05,0.200,0.300
2023-07-13 11:56:10,0.300,0.300
2023-07-13 11:56:15,0.300,0.300
2023-07-13 11:56:20,0.200,0.400
2023-07-13 11:56:25,0.200,0.400
2023-07-13 11:56:30,0.700,0.700
2023-07-13 11:56:35,0.700,0.700
2023-07-13 11:56:40,0.400,0.400
2023-07-13 11:56:45,0.400,0.400
2023-07-13 11:56:50,0.100,0.100
2023-07-13 11:56:55,0.100,0.100
2023-07-13 11:57:00,0.200,0.200
2023-07-13 11:57:05,0.200,0.200
2023-07-13 11:57:10,0.300,0.300
2023-07-13 11:57:15,0.300,0.300

