"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 00:17:45,0.500,0.500
2023-07-12 00:17:50,0.500,0.500
2023-07-12 00:17:55,0.200,0.200
2023-07-12 00:18:00,0.200,0.200
2023-07-12 00:18:05,0.800,0.800
2023-07-12 00:18:10,0.800,0.800
2023-07-12 00:18:15,0.200,0.200
2023-07-12 00:18:20,0.200,0.200
2023-07-12 00:18:25,0.400,0.400
2023-07-12 00:18:30,0.400,0.400
2023-07-12 00:18:35,0.300,0.300
2023-07-12 00:18:40,0.300,0.300
2023-07-12 00:18:45,0.300,0.300
2023-07-12 00:18:50,0.300,0.300
2023-07-12 00:18:55,0.700,0.700
2023-07-12 00:19:00,0.700,0.700
2023-07-12 00:19:05,0.200,0.200
2023-07-12 00:19:10,0.200,0.200
2023-07-12 00:19:15,0.600,0.600
2023-07-12 00:19:20,0.600,0.600
2023-07-12 00:19:25,0.400,0.400
2023-07-12 00:19:30,0.400,0.400
2023-07-12 00:19:35,0.500,0.500
2023-07-12 00:19:40,0.500,0.500

