"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 11:08:40,0.700,0.700
2023-07-12 11:08:45,0.700,0.700
2023-07-12 11:08:50,0.600,0.700
2023-07-12 11:08:55,0.600,0.700
2023-07-12 11:09:00,0.300,0.300
2023-07-12 11:09:05,0.300,0.300
2023-07-12 11:09:10,0.800,0.800
2023-07-12 11:09:15,0.800,0.800
2023-07-12 11:09:20,0.800,0.800
2023-07-12 11:09:25,0.800,0.800
2023-07-12 11:09:30,0.800,0.900
2023-07-12 11:09:35,0.800,0.900
2023-07-12 11:09:40,1,1
2023-07-12 11:09:45,1,1
2023-07-12 11:09:50,0.800,0.900
2023-07-12 11:09:55,0.800,0.900
2023-07-12 11:10:00,0.800,0.900
2023-07-12 11:10:05,0.800,0.900
2023-07-12 11:10:10,0.700,1.50
2023-07-12 11:10:15,0.700,1.50
2023-07-12 11:10:20,1,1.10
2023-07-12 11:10:25,1,1.10
2023-07-12 11:10:30,1.20,1.60
2023-07-12 11:10:35,1.20,1.60
2023-07-12 11:10:40,0.700,1.10
2023-07-12 11:10:45,0.700,1.10
2023-07-12 11:10:50,0.700,1.20
2023-07-12 11:10:55,0.700,1.20
2023-07-12 11:11:00,0.400,0.400
2023-07-12 11:11:05,0.400,0.400
2023-07-12 11:11:10,0.600,0.600
2023-07-12 11:11:15,0.600,0.600
2023-07-12 11:11:20,0.500,0.500
2023-07-12 11:11:25,0.500,0.500
2023-07-12 11:11:30,0.200,0.200
2023-07-12 11:11:35,0.200,0.200
2023-07-12 11:11:40,0.400,0.400
2023-07-12 11:11:45,0.400,0.400
2023-07-12 11:12:00,0.600,0.600
2023-07-12 11:12:05,0.600,0.600
2023-07-12 11:12:10,0.500,0.500
2023-07-12 11:12:15,0.500,0.500
2023-07-12 11:12:20,0.400,0.400
2023-07-12 11:12:25,0.400,0.400
2023-07-12 11:12:30,0.200,0.200
2023-07-12 11:12:35,0.200,0.200
2023-07-12 11:12:40,0.300,0.300
2023-07-12 11:12:45,0.300,0.300
2023-07-12 11:12:50,0.400,0.400
2023-07-12 11:12:55,0.400,0.400
2023-07-12 11:13:00,0.700,0.700
2023-07-12 11:13:05,0.700,0.700
2023-07-12 11:13:10,0.300,0.500
2023-07-12 11:13:15,0.300,0.500
2023-07-12 11:13:20,0.500,0.500
2023-07-12 11:13:25,0.500,0.500
2023-07-12 11:13:30,0.300,0.300
2023-07-12 11:13:35,0.300,0.300
2023-07-12 11:13:40,0.400,0.400
2023-07-12 11:13:45,0.400,0.400
2023-07-12 11:13:50,0.200,0.200
2023-07-12 11:13:55,0.200,0.200
2023-07-12 11:14:00,0.200,0.200
2023-07-12 11:14:05,0.200,0.200
2023-07-12 11:14:10,0.600,0.600
2023-07-12 11:14:15,0.600,0.600
2023-07-12 11:14:20,0.400,0.400
2023-07-12 11:14:25,0.400,0.400
2023-07-12 11:14:30,0.300,0.300
2023-07-12 11:14:35,0.300,0.300
2023-07-12 11:14:40,0.400,0.400
2023-07-12 11:14:45,0.400,0.400
2023-07-12 11:14:50,0.300,0.300
2023-07-12 11:14:55,0.300,0.300
2023-07-12 11:15:00,0.600,0.800
2023-07-12 11:15:05,0.600,0.800
2023-07-12 11:15:10,0.300,0.400
2023-07-12 11:15:15,0.300,0.400
2023-07-12 11:15:20,0.500,0.500
2023-07-12 11:15:25,0.500,0.500
2023-07-12 11:15:30,0.600,0.800
2023-07-12 11:15:35,0.600,0.800
2023-07-12 11:15:40,0.300,0.300

