"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 23:16:15,0.200,0.200
2023-07-12 23:16:20,0.200,0.200
2023-07-12 23:16:25,0.200,0.200
2023-07-12 23:16:30,0.400,0.500
2023-07-12 23:16:35,0.400,0.500
2023-07-12 23:16:40,0.200,0.200
2023-07-12 23:16:45,0.200,0.200
2023-07-12 23:16:50,0.300,0.300
2023-07-12 23:16:55,0.300,0.300
2023-07-12 23:17:00,0.400,0.400
2023-07-12 23:17:05,0.400,0.400
2023-07-12 23:17:10,0.300,0.500
2023-07-12 23:17:15,0.300,0.500
2023-07-12 23:17:20,0.700,0.700
2023-07-12 23:17:25,0.700,0.700
2023-07-12 23:17:30,0.400,0.400
2023-07-12 23:17:35,0.400,0.400
2023-07-12 23:17:50,0.100,0.100
2023-07-12 23:17:55,0.100,0.100
2023-07-12 23:18:00,0.400,0.400
2023-07-12 23:18:05,0.400,0.400
2023-07-12 23:18:10,0.600,0.600
2023-07-12 23:18:15,0.600,0.600
2023-07-12 23:18:20,0.600,0.600
2023-07-12 23:18:25,0.600,0.600
2023-07-12 23:18:30,0.600,0.600
2023-07-12 23:18:35,0.600,0.600

