"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 00:20:40,0.400,0.500
2023-07-12 00:20:45,0.600,0.600
2023-07-12 00:20:50,0.600,0.600
2023-07-12 00:20:55,0.500,0.500
2023-07-12 00:21:00,0.500,0.500
2023-07-12 00:21:05,0.500,0.500
2023-07-12 00:21:10,0.500,0.500
2023-07-12 00:21:15,0.400,0.400
2023-07-12 00:21:20,0.400,0.400
2023-07-12 00:21:25,0.400,0.400
2023-07-12 00:21:30,0.400,0.400
2023-07-12 00:21:35,0.600,0.700
2023-07-12 00:21:40,0.600,0.700
2023-07-12 00:21:45,0.500,0.500
2023-07-12 00:21:50,0.500,0.500
2023-07-12 00:21:55,0.500,0.500
2023-07-12 00:22:00,0.500,0.500
2023-07-12 00:22:05,0.300,0.300
2023-07-12 00:22:10,0.300,0.300
2023-07-12 00:22:15,0.300,0.300
2023-07-12 00:22:20,0.300,0.300
2023-07-12 00:22:25,0.500,0.500
2023-07-12 00:22:30,0.500,0.500
2023-07-12 00:22:35,0.500,0.500
2023-07-12 00:22:40,0.500,0.500
2023-07-12 00:22:45,0.300,0.300

