"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-12 11:16:10,0.900,0.900
2023-07-12 11:16:15,0.900,0.900
2023-07-12 11:16:20,0.700,0.700
2023-07-12 11:16:25,0.700,0.700
2023-07-12 11:16:30,0.400,0.400
2023-07-12 11:16:35,0.400,0.400
2023-07-12 11:16:40,0.300,1
2023-07-12 11:16:45,0.300,1
2023-07-12 11:16:50,0.900,1.70
2023-07-12 11:16:55,0.900,1.70
2023-07-12 11:17:00,1.20,1.60
2023-07-12 11:17:05,1.20,1.60
2023-07-12 11:17:10,1,1.10
2023-07-12 11:17:15,1,1.10
2023-07-12 11:17:20,0.800,1.20
2023-07-12 11:17:25,0.800,1.20
2023-07-12 11:17:30,0.700,1
2023-07-12 11:17:35,0.700,1
2023-07-12 11:17:40,0.900,1.60
2023-07-12 11:17:45,0.900,1.60
2023-07-12 11:17:50,0.600,1.50
2023-07-12 11:17:55,0.600,1.50
2023-07-12 11:18:00,0.900,1
2023-07-12 11:18:05,0.900,1
2023-07-12 11:18:10,1.10,1.40
2023-07-12 11:18:15,1.10,1.40
2023-07-12 11:18:20,0.900,1.70
2023-07-12 11:18:25,0.900,1.70
2023-07-12 11:18:30,0.700,0.700
2023-07-12 11:18:35,0.700,0.700
2023-07-12 11:18:40,0.800,0.800
2023-07-12 11:18:45,0.800,0.800
2023-07-12 11:18:50,0.300,0.300
2023-07-12 11:18:55,0.300,0.300
2023-07-12 11:19:00,0.200,0.200
2023-07-12 11:19:05,0.200,0.200
2023-07-12 11:19:10,0.400,0.600
2023-07-12 11:19:15,0.400,0.600
2023-07-12 11:19:20,0.500,0.500
2023-07-12 11:19:25,0.500,0.500
2023-07-12 11:19:30,0.400,0.400
2023-07-12 11:19:35,0.400,0.400
2023-07-12 11:19:40,0.500,0.500
2023-07-12 11:19:45,0.500,0.500
2023-07-12 11:19:50,0.400,0.400
2023-07-12 11:19:55,0.400,0.400
2023-07-12 11:20:00,0.300,0.300
2023-07-12 11:20:05,0.300,0.300
2023-07-12 11:20:10,0.300,0.300
2023-07-12 11:20:15,0.300,0.300
2023-07-12 11:20:20,0.300,0.300
2023-07-12 11:20:25,0.300,0.300
2023-07-12 11:20:30,0.200,0.200
2023-07-12 11:20:35,0.200,0.200
2023-07-12 11:20:40,0.500,0.500
2023-07-12 11:20:45,0.500,0.500
2023-07-12 11:20:50,0.300,0.300
2023-07-12 11:20:55,0.300,0.300
2023-07-12 11:21:00,0.600,0.600
2023-07-12 11:21:05,0.600,0.600
2023-07-12 11:21:10,0.800,0.800
2023-07-12 11:21:15,0.800,0.800
2023-07-12 11:21:20,0.600,0.600
2023-07-12 11:21:25,0.600,0.600
2023-07-12 11:21:30,0.700,0.700
2023-07-12 11:21:35,0.700,0.700
2023-07-12 11:21:40,0.900,0.900
2023-07-12 11:21:45,0.900,0.900
2023-07-12 11:21:50,0.500,0.500
2023-07-12 11:21:55,0.500,0.500
2023-07-12 11:22:00,0.400,0.400
2023-07-12 11:22:05,0.400,0.400
2023-07-12 11:22:10,0.400,0.400
2023-07-12 11:22:15,0.400,0.400
2023-07-12 11:22:20,0.500,0.500
2023-07-12 11:22:25,0.500,0.500
2023-07-12 11:22:30,0.500,0.500
2023-07-12 11:22:35,0.500,0.500
2023-07-12 11:22:40,0.300,0.300
2023-07-12 11:22:45,0.300,0.300
2023-07-12 11:22:50,0.500,0.500
2023-07-12 11:22:55,0.500,0.500
2023-07-12 11:23:00,0.600,0.600
2023-07-12 11:23:05,0.600,0.600
2023-07-12 11:23:10,0.300,0.300

