"Time","Response Within Response Time"
2023-07-19 14:45:20,95.1%
2023-07-19 14:45:30,95.1%
2023-07-19 14:45:40,95.6%
2023-07-19 14:45:50,95.3%
2023-07-19 14:46:00,94.8%
2023-07-19 14:46:10,94.0%
2023-07-19 14:46:20,94.8%
2023-07-19 14:46:30,94.0%
2023-07-19 14:46:40,94.0%
2023-07-19 14:46:50,94.0%
2023-07-19 14:47:00,94.1%
2023-07-19 14:47:10,94.1%
2023-07-19 14:47:20,94.1%
2023-07-19 14:47:30,92.6%
2023-07-19 14:47:40,91.9%
2023-07-19 14:47:50,91.1%
2023-07-19 14:48:00,90.6%
2023-07-19 14:48:10,90.7%
2023-07-19 14:48:20,90.6%
2023-07-19 14:48:30,90.8%
2023-07-19 14:48:40,91.0%
2023-07-19 14:48:50,90.7%
2023-07-19 14:49:00,90.8%
2023-07-19 14:49:10,90.6%
2023-07-19 14:49:20,90.5%
2023-07-19 14:49:30,90.1%
2023-07-19 14:49:40,89.8%
2023-07-19 14:49:50,89.9%
2023-07-19 14:50:00,89.7%
2023-07-19 14:50:10,90.2%
2023-07-19 14:50:20,91.2%
2023-07-19 14:50:30,91.9%
2023-07-19 14:50:40,92.3%
2023-07-19 14:50:50,93.0%
2023-07-19 14:51:00,94.1%
2023-07-19 14:51:10,94.0%
2023-07-19 14:51:20,95.1%
2023-07-19 14:51:30,95.2%
2023-07-19 14:51:40,95.2%
2023-07-19 14:51:50,95.3%
2023-07-19 14:52:00,95.3%
2023-07-19 14:52:10,94.4%
2023-07-19 14:52:20,96.4%
2023-07-19 14:52:30,97.4%
2023-07-19 14:52:40,98.5%
2023-07-19 14:52:50,99.0%
2023-07-19 14:53:00,99.0%
2023-07-19 14:53:10,99.0%
2023-07-19 14:53:20,98.5%
2023-07-19 14:53:30,98.0%
2023-07-19 14:53:40,97.1%
2023-07-19 14:53:50,96.7%
2023-07-19 14:54:00,96.7%
2023-07-19 14:54:10,95.4%
2023-07-19 14:54:20,95.1%
2023-07-19 14:54:30,95.3%
2023-07-19 14:54:40,95.4%
2023-07-19 14:54:50,95.5%
2023-07-19 14:55:00,95.4%
2023-07-19 14:55:10,95.5%
2023-07-19 14:55:20,95.5%
2023-07-19 14:55:30,95.5%
2023-07-19 14:55:40,95.4%
2023-07-19 14:55:50,95.3%
2023-07-19 14:56:00,95.2%
2023-07-19 14:56:10,95.1%
2023-07-19 14:56:20,95.0%
2023-07-19 14:56:30,95.1%
2023-07-19 14:56:40,95.0%
2023-07-19 14:56:50,95%
2023-07-19 14:57:00,95.9%
2023-07-19 14:57:10,95.9%
2023-07-19 14:57:20,94.9%
2023-07-19 14:57:30,94.9%
2023-07-19 14:57:40,94.9%
2023-07-19 14:57:50,94.9%
2023-07-19 14:58:00,94.5%
2023-07-19 14:58:10,94.9%
2023-07-19 14:58:20,94.9%
2023-07-19 14:58:30,95.3%
2023-07-19 14:58:40,94.8%
2023-07-19 14:58:50,94.3%
2023-07-19 14:59:00,95.3%
2023-07-19 14:59:10,94.7%
2023-07-19 14:59:20,94.7%
2023-07-19 14:59:30,94.3%
2023-07-19 14:59:40,93.9%
2023-07-19 14:59:50,93.9%
2023-07-19 15:00:00,94.0%
2023-07-19 15:00:10,94.0%
2023-07-19 15:00:20,93.8%
2023-07-19 15:00:30,94.0%
2023-07-19 15:00:40,93.6%
2023-07-19 15:00:50,93.3%
2023-07-19 15:01:00,91.9%
2023-07-19 15:01:10,91.4%
2023-07-19 15:01:20,91.4%
2023-07-19 15:01:30,91.5%
2023-07-19 15:01:40,91.2%
2023-07-19 15:01:50,91.2%
2023-07-19 15:02:00,91.2%
2023-07-19 15:02:10,91.9%
2023-07-19 15:02:20,91.7%
2023-07-19 15:02:30,91.9%
2023-07-19 15:02:40,91.9%
2023-07-19 15:02:50,92.2%
2023-07-19 15:03:00,92.3%
2023-07-19 15:03:10,92.8%
2023-07-19 15:03:20,93.3%
2023-07-19 15:03:30,94.3%
2023-07-19 15:03:40,94.9%
2023-07-19 15:03:50,95.3%
2023-07-19 15:04:00,96.3%
2023-07-19 15:04:10,96.3%
2023-07-19 15:04:20,96.7%
2023-07-19 15:04:30,97.2%
2023-07-19 15:04:40,96.3%
2023-07-19 15:04:50,95.8%
2023-07-19 15:05:00,94.0%
2023-07-19 15:05:10,93.2%
2023-07-19 15:05:20,93.0%
2023-07-19 15:05:30,93.4%
2023-07-19 15:05:40,92.9%
2023-07-19 15:05:50,93.4%
2023-07-19 15:06:00,93.3%
2023-07-19 15:06:10,92.5%
2023-07-19 15:06:20,92.6%
2023-07-19 15:06:30,92.3%
2023-07-19 15:06:40,91.3%
2023-07-19 15:06:50,91.4%
2023-07-19 15:07:00,90.9%
2023-07-19 15:07:10,90.7%
2023-07-19 15:07:20,90.5%
2023-07-19 15:07:30,90.5%
2023-07-19 15:07:40,90.6%
2023-07-19 15:07:50,90.5%
2023-07-19 15:08:00,90.3%
2023-07-19 15:08:10,90.2%
2023-07-19 15:08:20,90.3%
2023-07-19 15:08:30,90.0%
2023-07-19 15:08:40,90.0%
2023-07-19 15:08:50,90.0%
2023-07-19 15:09:00,90.0%
2023-07-19 15:09:10,90.0%
2023-07-19 15:09:20,89.8%
2023-07-19 15:09:30,90.7%
2023-07-19 15:09:40,91.2%
2023-07-19 15:09:50,92.8%
2023-07-19 15:10:00,93.8%
2023-07-19 15:10:10,93.8%
2023-07-19 15:10:20,93.6%
2023-07-19 15:10:30,94.5%
2023-07-19 15:10:40,95.4%
2023-07-19 15:10:50,95.0%
2023-07-19 15:11:00,95.3%
2023-07-19 15:11:10,94.4%
2023-07-19 15:11:20,94.4%
2023-07-19 15:11:30,95.4%
2023-07-19 15:11:40,95.3%
2023-07-19 15:11:50,95.2%
2023-07-19 15:12:00,95.1%
2023-07-19 15:12:10,95.2%
2023-07-19 15:12:20,94.6%
2023-07-19 15:12:30,94.0%
2023-07-19 15:12:40,93.5%
2023-07-19 15:12:50,93.6%
2023-07-19 15:13:00,93.7%
2023-07-19 15:13:10,92.3%
2023-07-19 15:13:20,91.9%
2023-07-19 15:13:30,90.7%
2023-07-19 15:13:40,90.0%
2023-07-19 15:13:50,90.0%
2023-07-19 15:14:00,89.9%
2023-07-19 15:14:10,89.6%
2023-07-19 15:14:20,89.5%
2023-07-19 15:14:30,89.1%
2023-07-19 15:14:40,89.1%
2023-07-19 15:14:50,88.9%
2023-07-19 15:15:00,89.0%
2023-07-19 15:15:10,89.2%
2023-07-19 15:15:20,89.1%
2023-07-19 15:15:30,89.2%
2023-07-19 15:15:40,90.5%
2023-07-19 15:15:50,91.1%
2023-07-19 15:16:00,92.0%
2023-07-19 15:16:10,92.3%
2023-07-19 15:16:20,92.3%
2023-07-19 15:16:30,92.4%
2023-07-19 15:16:40,93.4%
2023-07-19 15:16:50,93.9%
2023-07-19 15:17:00,93.8%
2023-07-19 15:17:10,92.8%
2023-07-19 15:17:20,93.6%
2023-07-19 15:17:30,93.6%
2023-07-19 15:17:40,93.5%
2023-07-19 15:17:50,92.3%
2023-07-19 15:18:00,93.3%
2023-07-19 15:18:10,93.6%
2023-07-19 15:18:20,93.6%
2023-07-19 15:18:30,93.7%
2023-07-19 15:18:40,93.7%
2023-07-19 15:18:50,93.9%
2023-07-19 15:19:00,93.5%
2023-07-19 15:19:10,93.5%
2023-07-19 15:19:20,92.1%
2023-07-19 15:19:30,92.1%
2023-07-19 15:19:40,90.8%
2023-07-19 15:19:50,89.3%
2023-07-19 15:20:00,89.2%
2023-07-19 15:20:10,89.3%
2023-07-19 15:20:20,89.1%
2023-07-19 15:20:30,88.3%
2023-07-19 15:20:40,88%
2023-07-19 15:20:50,87.9%
2023-07-19 15:21:00,88.1%
2023-07-19 15:21:10,88.1%
2023-07-19 15:21:20,88%
2023-07-19 15:21:30,88.1%
2023-07-19 15:21:40,86.7%
2023-07-19 15:21:50,86.4%
2023-07-19 15:22:00,87.0%
2023-07-19 15:22:10,86.1%
2023-07-19 15:22:20,86.7%
2023-07-19 15:22:30,87.2%
2023-07-19 15:22:40,88.3%
2023-07-19 15:22:50,88.4%
2023-07-19 15:23:00,88.7%
2023-07-19 15:23:10,88.9%
2023-07-19 15:23:20,87.5%
2023-07-19 15:23:30,87.0%
2023-07-19 15:23:40,85.9%
2023-07-19 15:23:50,85.8%
2023-07-19 15:24:00,84.4%
2023-07-19 15:24:10,84.8%
2023-07-19 15:24:20,82.5%
2023-07-19 15:24:30,83.0%
2023-07-19 15:24:40,84.5%
2023-07-19 15:24:50,83.2%
2023-07-19 15:25:00,82.1%
2023-07-19 15:25:10,82.4%
2023-07-19 15:25:20,81.9%
2023-07-19 15:25:30,81.1%
2023-07-19 15:25:40,81.5%
2023-07-19 15:25:50,80.5%
2023-07-19 15:26:00,79.5%
2023-07-19 15:26:10,79.3%
2023-07-19 15:26:20,79.2%
2023-07-19 15:26:30,79.8%
2023-07-19 15:26:40,79.5%
2023-07-19 15:26:50,80.0%
2023-07-19 15:27:00,80.4%
2023-07-19 15:27:10,80.1%
2023-07-19 15:27:20,79.9%
2023-07-19 15:27:30,80.3%
2023-07-19 15:27:40,80.4%
2023-07-19 15:27:50,80.2%
2023-07-19 15:28:00,81.4%
2023-07-19 15:28:10,83.5%
2023-07-19 15:28:20,83.8%
2023-07-19 15:28:30,85.1%
2023-07-19 15:28:40,85.7%
2023-07-19 15:28:50,86.6%
2023-07-19 15:29:00,86.2%
2023-07-19 15:29:10,89.1%
2023-07-19 15:29:20,88.4%
2023-07-19 15:29:30,88.0%
2023-07-19 15:29:40,89.6%
2023-07-19 15:29:50,90.6%
2023-07-19 15:30:00,89.5%
2023-07-19 15:30:10,90.8%
2023-07-19 15:30:20,90.2%
2023-07-19 15:30:30,89.0%
2023-07-19 15:30:40,89.1%
2023-07-19 15:30:50,90.2%
2023-07-19 15:31:00,89.2%
2023-07-19 15:31:10,89.2%
2023-07-19 15:31:20,89.5%
2023-07-19 15:31:30,88.8%
2023-07-19 15:31:40,88.6%
2023-07-19 15:31:50,87.7%
2023-07-19 15:32:00,87.1%
2023-07-19 15:32:10,86.3%
2023-07-19 15:32:20,85.1%
2023-07-19 15:32:30,85.1%
2023-07-19 15:32:40,85.2%
2023-07-19 15:32:50,85.0%
2023-07-19 15:33:00,84.9%
2023-07-19 15:33:10,85.1%
2023-07-19 15:33:20,84.3%
2023-07-19 15:33:30,84.2%
2023-07-19 15:33:40,85%
2023-07-19 15:33:50,86.2%
2023-07-19 15:34:00,86.1%
2023-07-19 15:34:10,87.4%
2023-07-19 15:34:20,87.6%
2023-07-19 15:34:30,87.2%
2023-07-19 15:34:40,87.0%
2023-07-19 15:34:50,88.1%
2023-07-19 15:35:00,88.0%
2023-07-19 15:35:10,90%
2023-07-19 15:35:20,91.1%
2023-07-19 15:35:30,91.9%
2023-07-19 15:35:40,91.9%
2023-07-19 15:35:50,93.2%
2023-07-19 15:36:00,93.2%
2023-07-19 15:36:10,92.7%
2023-07-19 15:36:20,93.7%
2023-07-19 15:36:30,93.7%
2023-07-19 15:36:40,94.9%
2023-07-19 15:36:50,95.5%
2023-07-19 15:37:00,96.4%
2023-07-19 15:37:10,97.4%
2023-07-19 15:37:20,97.5%
2023-07-19 15:37:30,96.4%
2023-07-19 15:37:40,96.0%
2023-07-19 15:37:50,96.0%
2023-07-19 15:38:00,96.0%
2023-07-19 15:38:10,96.1%
2023-07-19 15:38:20,95.6%
2023-07-19 15:38:30,95.6%
2023-07-19 15:38:40,95.7%
2023-07-19 15:38:50,95.6%
2023-07-19 15:39:00,95.5%
2023-07-19 15:39:10,95.6%
2023-07-19 15:39:20,95.9%
2023-07-19 15:39:30,96.3%
2023-07-19 15:39:40,96.4%
2023-07-19 15:39:50,96.0%
2023-07-19 15:40:00,96.0%
2023-07-19 15:40:10,96.1%
2023-07-19 15:40:20,96.6%
2023-07-19 15:40:30,96.6%
2023-07-19 15:40:40,96.6%
2023-07-19 15:40:50,96.6%
2023-07-19 15:41:00,97.1%
2023-07-19 15:41:10,97.1%
2023-07-19 15:41:20,97.6%
2023-07-19 15:41:30,97.5%
2023-07-19 15:41:40,97.1%
2023-07-19 15:41:50,96.1%
2023-07-19 15:42:00,95.7%
2023-07-19 15:42:10,94.7%
2023-07-19 15:42:20,95.2%
2023-07-19 15:42:30,95.7%
2023-07-19 15:42:40,95.7%
2023-07-19 15:42:50,94.2%
2023-07-19 15:43:00,94.3%
2023-07-19 15:43:10,94.4%
2023-07-19 15:43:20,94.4%
2023-07-19 15:43:30,94.3%
