"Time","Response Within Response Time"
2023-07-16 14:05:20,99.5%
2023-07-16 14:05:30,99.5%
2023-07-16 14:05:40,99.5%
2023-07-16 14:05:50,99.5%
2023-07-16 14:06:00,99.5%
2023-07-16 14:06:10,99.5%
2023-07-16 14:06:20,99.5%
2023-07-16 14:06:30,99.5%
2023-07-16 14:06:40,99.5%
2023-07-16 14:06:50,99.5%
2023-07-16 14:07:00,99.5%
2023-07-16 14:07:10,99.5%
2023-07-16 14:07:20,99.0%
2023-07-16 14:07:30,99.0%
2023-07-16 14:07:40,99.0%
2023-07-16 14:07:50,99.5%
2023-07-16 14:08:00,99.5%
2023-07-16 14:08:10,99.5%
2023-07-16 14:08:20,99.5%
2023-07-16 14:08:30,99.5%
2023-07-16 14:08:40,99.5%
2023-07-16 14:08:50,99.5%
2023-07-16 14:09:00,99.5%
2023-07-16 14:09:10,99.5%
2023-07-16 14:09:20,99.5%
2023-07-16 14:09:30,99.5%
2023-07-16 14:09:40,99.5%
2023-07-16 14:09:50,99.5%
2023-07-16 14:10:00,99.5%
2023-07-16 14:10:10,99.5%
2023-07-16 14:10:20,99.5%
2023-07-16 14:10:30,99.5%
2023-07-16 14:10:40,99.5%
2023-07-16 14:10:50,99.5%
2023-07-16 14:11:00,99.1%
2023-07-16 14:11:10,98.7%
2023-07-16 14:11:20,98.6%
2023-07-16 14:11:30,98.6%
2023-07-16 14:11:40,98.6%
2023-07-16 14:11:50,98.6%
2023-07-16 14:12:00,98.6%
2023-07-16 14:12:10,99.0%
2023-07-16 14:12:20,99.0%
2023-07-16 14:12:30,99.0%
2023-07-16 14:12:40,99.0%
2023-07-16 14:12:50,99.1%
2023-07-16 14:13:00,99.0%
2023-07-16 14:13:10,99.1%
2023-07-16 14:13:20,99.1%
2023-07-16 14:13:30,99.1%
2023-07-16 14:13:40,99.1%
2023-07-16 14:13:50,99.1%
2023-07-16 14:14:00,99.1%
2023-07-16 14:14:10,99.1%
2023-07-16 14:14:20,99.1%
2023-07-16 14:14:30,99.1%
2023-07-16 14:14:40,99.1%
2023-07-16 14:14:50,99.1%
2023-07-16 14:15:00,99.1%
2023-07-16 14:15:10,99.1%
2023-07-16 14:15:20,99.1%
2023-07-16 14:15:30,99.1%
2023-07-16 14:15:40,99.1%
2023-07-16 14:15:50,99.5%
2023-07-16 14:16:00,100%
2023-07-16 14:16:10,100%
2023-07-16 14:16:20,100%
2023-07-16 14:16:30,100%
2023-07-16 14:16:40,100%
2023-07-16 14:16:50,100%
2023-07-16 14:17:00,100%
2023-07-16 14:17:10,100%
2023-07-16 14:17:20,100%
2023-07-16 14:17:30,100%
2023-07-16 14:17:40,100%
2023-07-16 14:17:50,100%
2023-07-16 14:18:00,100%
2023-07-16 14:18:10,100%
2023-07-16 14:18:20,100%
2023-07-16 14:18:30,100%
2023-07-16 14:18:40,100%
2023-07-16 14:18:50,100%
2023-07-16 14:19:00,100%
2023-07-16 14:19:10,100%
2023-07-16 14:19:20,100%
2023-07-16 14:19:30,99.1%
2023-07-16 14:19:40,99.1%
2023-07-16 14:19:50,99.1%
2023-07-16 14:20:00,99.0%
2023-07-16 14:20:10,99.1%
2023-07-16 14:20:20,99.1%
2023-07-16 14:20:30,99.1%
2023-07-16 14:20:40,98.6%
2023-07-16 14:20:50,98.6%
2023-07-16 14:21:00,98.6%
2023-07-16 14:21:10,98.1%
2023-07-16 14:21:20,98.1%
2023-07-16 14:21:30,98.1%
