"Time","Response Within Response Time"
2023-07-15 20:05:20,98.0%
2023-07-15 20:05:30,98.2%
2023-07-15 20:05:40,98.1%
2023-07-15 20:05:50,98%
2023-07-15 20:06:00,97.9%
2023-07-15 20:06:10,97.7%
2023-07-15 20:06:20,97.8%
2023-07-15 20:06:30,97.6%
2023-07-15 20:06:40,97.7%
2023-07-15 20:06:50,100%
2023-07-15 20:07:00,100%
2023-07-15 20:07:10,100%
2023-07-15 20:07:20,100%
2023-07-15 20:07:30,100%
2023-07-15 20:07:40,100%
2023-07-15 20:07:50,100%
2023-07-15 20:08:00,100%
2023-07-15 20:08:10,100%
2023-07-15 20:08:20,100%
2023-07-15 20:08:30,100%
2023-07-15 20:08:40,100%
2023-07-15 20:08:50,100%
2023-07-15 20:09:00,100%
2023-07-15 20:09:10,100%
2023-07-15 20:09:20,100%
2023-07-15 20:09:30,98.9%
2023-07-15 20:09:40,97.7%
2023-07-15 20:09:50,97.6%
2023-07-15 20:10:00,97.5%
2023-07-15 20:10:10,97.7%
2023-07-15 20:10:20,95.5%
2023-07-15 20:10:30,94.6%
2023-07-15 20:10:40,94.5%
2023-07-15 20:10:50,94.9%
2023-07-15 20:11:00,94.9%
2023-07-15 20:11:10,94.9%
2023-07-15 20:11:20,94.9%
2023-07-15 20:11:30,95.8%
2023-07-15 20:11:40,95.8%
2023-07-15 20:11:50,93.8%
2023-07-15 20:12:00,93.2%
2023-07-15 20:12:10,95.1%
2023-07-15 20:12:20,94.8%
2023-07-15 20:12:30,94.9%
2023-07-15 20:12:40,95%
2023-07-15 20:12:50,95.2%
2023-07-15 20:13:00,95.4%
2023-07-15 20:13:10,96.5%
2023-07-15 20:13:20,95.5%
2023-07-15 20:13:30,95.6%
2023-07-15 20:13:40,97.9%
2023-07-15 20:13:50,98.1%
2023-07-15 20:14:00,98.1%
2023-07-15 20:14:10,99.1%
2023-07-15 20:14:20,98.2%
2023-07-15 20:14:30,98.2%
2023-07-15 20:14:40,98.2%
2023-07-15 20:14:50,98.2%
2023-07-15 20:15:00,98.2%
2023-07-15 20:15:10,98.1%
2023-07-15 20:15:20,98.1%
2023-07-15 20:15:30,98.0%
2023-07-15 20:15:40,98.0%
2023-07-15 20:15:50,95.0%
2023-07-15 20:16:00,94.3%
2023-07-15 20:16:10,94.3%
2023-07-15 20:16:20,94.5%
2023-07-15 20:16:30,91.8%
2023-07-15 20:16:40,89.7%
2023-07-15 20:16:50,89.8%
2023-07-15 20:17:00,90.7%
2023-07-15 20:17:10,90.8%
2023-07-15 20:17:20,88.4%
2023-07-15 20:17:30,88.8%
2023-07-15 20:17:40,91.1%
2023-07-15 20:17:50,90.5%
2023-07-15 20:18:00,90.0%
2023-07-15 20:18:10,89.6%
2023-07-15 20:18:20,92.3%
2023-07-15 20:18:30,94.2%
2023-07-15 20:18:40,94.3%
2023-07-15 20:18:50,94.0%
2023-07-15 20:19:00,94.0%
2023-07-15 20:19:10,97.6%
2023-07-15 20:19:20,97.5%
2023-07-15 20:19:30,97.5%
2023-07-15 20:19:40,98.8%
2023-07-15 20:19:50,100%
2023-07-15 20:20:00,100%
2023-07-15 20:20:10,98.8%
2023-07-15 20:20:20,98.9%
2023-07-15 20:20:30,98.9%
2023-07-15 20:20:40,98.9%
2023-07-15 20:20:50,98.9%
2023-07-15 20:21:00,98.8%
2023-07-15 20:21:10,98.7%
2023-07-15 20:21:20,98.7%
2023-07-15 20:21:30,98.7%
2023-07-15 20:21:40,96.2%
2023-07-15 20:21:50,96.6%
2023-07-15 20:22:00,96.5%
2023-07-15 20:22:10,96.4%
2023-07-15 20:22:20,96.2%
2023-07-15 20:22:30,96.5%
2023-07-15 20:22:40,96.5%
2023-07-15 20:22:50,96.5%
2023-07-15 20:23:00,96.6%
2023-07-15 20:23:10,96.6%
2023-07-15 20:23:20,96.7%
2023-07-15 20:23:30,98.9%
2023-07-15 20:23:40,97.6%
2023-07-15 20:23:50,98.9%
2023-07-15 20:24:00,96.6%
2023-07-15 20:24:10,96.7%
2023-07-15 20:24:20,95.4%
2023-07-15 20:24:30,95.5%
2023-07-15 20:24:40,95.3%
2023-07-15 20:24:50,95.7%
2023-07-15 20:25:00,96%
2023-07-15 20:25:10,95.9%
2023-07-15 20:25:20,96.1%
2023-07-15 20:25:30,96.9%
2023-07-15 20:25:40,96.9%
2023-07-15 20:25:50,98.9%
2023-07-15 20:26:00,98.9%
2023-07-15 20:26:10,100%
2023-07-15 20:26:20,100%
2023-07-15 20:26:30,98.1%
2023-07-15 20:26:40,98.1%
2023-07-15 20:26:50,98%
2023-07-15 20:27:00,98%
2023-07-15 20:27:10,98.0%
2023-07-15 20:27:20,98.1%
2023-07-15 20:27:30,98.0%
2023-07-15 20:27:40,98.1%
2023-07-15 20:27:50,98.1%
2023-07-15 20:28:00,98.1%
2023-07-15 20:28:10,98.1%
2023-07-15 20:28:20,99.0%
2023-07-15 20:28:30,99.0%
2023-07-15 20:28:40,98%
2023-07-15 20:28:50,97.0%
2023-07-15 20:29:00,96.9%
2023-07-15 20:29:10,96.7%
2023-07-15 20:29:20,96.7%
2023-07-15 20:29:30,96.8%
2023-07-15 20:29:40,96.6%
