"Time","GET /login 20ms","GET /signup 20ms","POST /logout 20ms","GET / 30ms","GET /home 30ms","POST /deposit 300ms","POST /payment 300ms","POST /login 2000ms","POST /signup 3000ms"
2023-07-17 17:15:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:15:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:15:40,100%,100%,,100%,100%,,100%,100%,
2023-07-17 17:15:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:16:00,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 17:16:10,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:16:20,100%,100%,,100%,100%,100%,100%,87.5%,
2023-07-17 17:16:30,100%,100%,,100%,100%,100%,100%,80%,100%
2023-07-17 17:16:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:16:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:17:00,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:17:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:17:20,100%,100%,,100%,100%,100%,,66.7%,100%
2023-07-17 17:17:30,100%,100%,,100%,100%,100%,100%,90%,100%
2023-07-17 17:17:40,100%,100%,100%,100%,100%,100%,100%,77.8%,100%
2023-07-17 17:17:50,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:18:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:18:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:18:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:18:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:18:40,100%,,,100%,100%,100%,,100%,100%
2023-07-17 17:18:50,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:19:00,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:19:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:19:20,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:19:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:19:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:19:50,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 17:20:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:20:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:20:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:20:30,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:20:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:20:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:21:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:21:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:21:20,100%,100%,100%,100%,96.9%,100%,100%,87.5%,100%
2023-07-17 17:21:30,100%,,,100%,100%,100%,100%,100%,
2023-07-17 17:21:40,100%,,,100%,100%,100%,100%,90.9%,
2023-07-17 17:21:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:22:00,100%,100%,100%,100%,100%,100%,100%,83.3%,
2023-07-17 17:22:10,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:22:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 17:22:30,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:22:40,100%,,,87.5%,90.3%,100%,100%,75%,0%
2023-07-17 17:22:50,100%,100%,100%,88.9%,100%,100%,100%,100%,
2023-07-17 17:23:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:23:10,100%,100%,100%,100%,100%,100%,100%,91.7%,100%
2023-07-17 17:23:20,100%,100%,,100%,97.4%,100%,100%,100%,100%
2023-07-17 17:23:30,100%,,,100%,100%,100%,100%,100%,
2023-07-17 17:23:40,100%,,,91.7%,100%,100%,100%,83.3%,
2023-07-17 17:23:50,100%,100%,100%,83.3%,100%,100%,100%,100%,100%
2023-07-17 17:24:00,100%,100%,,107%,100%,100%,100%,100%,100%
2023-07-17 17:24:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:24:20,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:24:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:24:40,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:24:50,100%,,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:25:00,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:25:10,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:25:20,100%,100%,,100%,100%,100%,100%,100%,
2023-07-17 17:25:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:25:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:25:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:26:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:26:10,100%,,,100%,100%,100%,100%,100%,100%
2023-07-17 17:26:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:26:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:26:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:26:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:27:00,100%,,,100%,100%,100%,100%,100%,
2023-07-17 17:27:10,100%,,,100%,97.3%,100%,100%,100%,
2023-07-17 17:27:20,100%,,,100%,100%,100%,100%,78.6%,
2023-07-17 17:27:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:27:40,100%,100%,100%,100%,100%,100%,100%,100%,66.7%
2023-07-17 17:27:50,100%,100%,,100%,100%,100%,100%,87.5%,100%
2023-07-17 17:28:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:28:10,100%,100%,100%,93.3%,100%,100%,100%,100%,100%
2023-07-17 17:28:20,100%,100%,100%,100%,100%,100%,100%,80%,100%
2023-07-17 17:28:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:28:40,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:28:50,100%,100%,100%,100%,100%,83.3%,100%,100%,100%
2023-07-17 17:29:00,100%,,,100%,100%,100%,100%,100%,
2023-07-17 17:29:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:29:20,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:29:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:29:40,100%,100%,100%,100%,100%,100%,100%,100%,
2023-07-17 17:29:50,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:30:00,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:30:10,100%,100%,100%,100%,100%,100%,100%,100%,100%
2023-07-17 17:30:20,100%,100%,,100%,100%,100%,100%,100%,100%
2023-07-17 17:30:30,100%,100%,100%,100%,100%,100%,100%,100%,100%
